direction,signal_bar,signal_timestamp_utc,entry_bar,entry_timestamp_utc,entry_price,stop_price,tp_price,exit_bar,exit_timestamp_utc,exit_price,exit_reason,bars_held,units,notional_entry,notional_exit,cost_entry,cost_exit,cost_total,gross_pnl,net_pnl,r_multiple,equity_before,equity_after,return_frac,atr_at_entry,stop_distance_atr
long,6228,2020-06-22 20:00:00+00:00,6229,2020-06-23 00:00:00+00:00,9685.69,9171.356972441605,11228.689082675188,6241,2020-06-25 00:00:00+00:00,9171.356972441605,stop,12,1.0371904096429567,10045.90477877469,9512.443495228496,15.571152407100769,14.744287417604168,30.31543982470494,-533.4612835461946,-563.7767233708995,-1.0,109475.35618910252,108911.57946573161,-0.005284139081501682,105.73302755839461,4.864450015623908
short,6257,2020-06-27 16:00:00+00:00,6258,2020-06-27 20:00:00+00:00,8937.45,9466.428870202124,7350.513389393631,6322,2020-07-08 12:00:00+00:00,9466.428870202124,stop,64,0.9715236776904725,8682.944293174714,9196.859790574032,13.458563654420807,14.25513267538975,27.713696329810556,-513.9154973993179,-541.6291937291285,-1.0,108911.57946573161,108369.95027200249,-0.00526963281385808,126.42887020212342,4.184003775058957
short,6369,2020-07-16 08:00:00+00:00,6370,2020-07-16 12:00:00+00:00,9081.62,9349.64269178818,8277.551924635463,6398,2020-07-21 04:00:00+00:00,9349.64269178818,stop,28,1.9073286221402637,17321.633761401463,17832.841112832135,26.848532330172265,27.640903724889807,54.48943605506207,-511.2073514306723,-565.6967874857344,-1.0,108369.95027200249,107804.25348451675,-0.005532948478758836,70.10269178817954,3.823286737662364
long,6408,2020-07-22 20:00:00+00:00,6409,2020-07-23 00:00:00+00:00,9518.16,9191.244162522567,10498.907512432297,6437,2020-07-27 16:00:00+00:00,10498.907512432297,take_profit,28,1.623177402550806,15449.662225862978,17041.589425651,23.946976450087615,26.41446360975905,50.361440059846664,1591.9271997880205,1541.565759728174,3.0,107804.25348451675,109345.81924424492,0.014525467244357475,69.75583747743232,4.686573185838354
long,6517,2020-08-10 00:00:00+00:00,6518,2020-08-10 04:00:00+00:00,12009.4,11143.746532612477,14606.360402162569,6528,2020-08-11 20:00:00+00:00,11143.746532612477,stop,10,0.6219003897167783,7468.650540264677,6930.300311536696,11.57640833741025,10.741965482881879,22.31837382029213,-538.3502287279811,-560.6686025482732,-1.0,109345.81924424492,108785.15064169664,-0.0052072848921512135,178.25346738752285,4.856306472320077
long,6547,2020-08-15 00:00:00+00:00,6548,2020-08-15 04:00:00+00:00,11888.67,11091.961742338002,14278.794772985993,6638,2020-08-30 04:00:00+00:00,11592.91,time_stop,90,0.672199491551454,7991.557929223024,7792.748207601766,12.386914790295688,12.078759721782736,24.465674512078422,-198.80972162125818,-223.2753961333366,-0.371227481522447,108785.15064169664,108561.87524556331,-0.0020845550790118527,178.39825766199905,4.465897078274582
long,6642,2020-08-30 20:00:00+00:00,6643,2020-08-31 00:00:00+00:00,11711.17,11300.592982078188,12942.901053765438,6657,2020-09-02 08:00:00+00:00,11300.592982078188,stop,14,1.3016571444735523,15243.92810064433,14709.497591909758,23.628088555998712,22.799721267460125,46.42780982345884,-534.430508734573,-580.8583185580318,-1.0,108561.87524556331,107981.01692700527,-0.005434367135339923,116.44701792181368,3.525869749601379
long,6759,2020-09-19 08:00:00+00:00,6760,2020-09-19 12:00:00+00:00,11139.69,10686.20983678866,12500.130489634024,6771,2020-09-21 08:00:00+00:00,10686.20983678866,stop,11,1.1721046701971585,13056.882673548585,12525.356456406802,20.23816814400031,19.41430250743054,39.652470651430846,-531.5262171417828,-571.1786877932136,-1.0,107981.01692700527,107409.83823921205,-0.005373005783841267,126.63016321134148,3.5811385827126996
short,6785,2020-09-23 16:00:00+00:00,6786,2020-09-23 20:00:00+00:00,10293.0,10704.96018855933,9057.119434322012,6791,2020-09-24 16:00:00+00:00,10704.96018855933,stop,5,1.234048535784735,12702.061578832278,13210.440446325521,19.68819544719003,20.476182691804556,40.164378138994586,-508.3788674932436,-548.5432456322382,-1.0,107409.83823921205,106861.29499357981,-0.005395024072666911,132.25018855933078,3.11500643626314
long,6883,2020-10-10 00:00:00+00:00,6884,2020-10-10 04:00:00+00:00,11412.96,10703.699986662656,13540.74004001203,6974,2020-10-25 04:00:00+00:00,13027.24,time_stop,90,0.7453829537283763,8507.025835583809,9710.282630128453,13.185890045154903,15.050938076699103,28.236828121854003,1203.2567945446438,1175.0199664227898,2.276005935262284,106861.29499357981,108036.3149600026,0.011112974511155916,125.30001333734415,5.66049431637177
